NO,Kelompok,Skor_DS,Skor_FOMO,Skor_DB,Norm_DS,Norm_FOMO,Norm_DB,Kategori_Aktual
224,Umum,24,12,63,25,5,40.625,Sedang
225,Umum,24,28,71,25,45,48.9583333333333,Sedang
226,Gamer,22,10,32,20.8333333333333,0,8.33333333333333,Rendah
227,Gamer,32,22,93,41.6666666666667,30,71.875,Tinggi
228,Umum,16,12,46,8.33333333333333,5,22.9166666666667,Rendah
229,Umum,15,24,90,6.25,35,68.75,Tinggi
230,Umum,46,15,97,70.8333333333333,12.5,76.0416666666667,Tinggi
231,Umum,29,23,77,35.4166666666667,32.5,55.2083333333333,Sedang
232,Umum,35,24,72,47.9166666666667,35,50,Sedang
233,Umum,14,10,60,4.16666666666667,0,37.5,Rendah
234,Umum,38,33,79,54.1666666666667,57.5,57.2916666666667,Sedang
